127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/images/sort_both.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/jq/form-validator/location.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/jq/form-validator/date.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/jq/form-validator/security.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/images/sort_asc.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/jq/form-validator/file.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 148
127.0.0.1 - - [06/Feb/2015:07:51:11 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:51:14 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 420
127.0.0.1 - - [06/Feb/2015:07:51:19 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:51:23 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:51:37 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:51:39 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:51:45 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:51:52 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 207
127.0.0.1 - - [06/Feb/2015:07:51:54 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 289
127.0.0.1 - - [06/Feb/2015:07:52:03 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:52:06 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:52:07 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:52:09 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
