127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/CSS/bootbox.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/Images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:32:02 +0000] "GET /ProjectProto2/CSS/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:32:02 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:32:02 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:35:26 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12349
127.0.0.1 - - [16/Feb/2015:13:35:26 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 14348
